vin,engine_type,vehicle_type_id,exterior_color,interior_color,floor_price,msr_price,miles_count,year_of_car,is_sold,is_new,dealership_location_id
YV4902DZ4D2079191,V6,14,Violet,Violet,30253,17796,38,2017,TRUE,TRUE,11
5FNRL5H22CB228430,V8,12,Mauv,Yellow,29993,19525,26,2017,TRUE,TRUE,20
1LNHL9DR5BG927704,V8,6,Goldenrod,Puce,27666,15135,299,2018,FALSE,TRUE,35
2C3CDZAT5FH778852,V4,17,Orange,Goldenrod,25246,19393,98,2020,FALSE,TRUE,16
WAUGGAFC1CN737469,V4,20,Crimson,Aquamarine,32322,18562,301,2019,TRUE,TRUE,6
SCFEBBAK1CG590346,V6,3,Blue,Aquamarine,31500,17694,336,2017,FALSE,TRUE,15
WA1WMBFE8AD480273,V6,1,Yellow,Yellow,26702,17365,153,2019,FALSE,TRUE,17
5UXKS4C57F0415096,V4,20,Purple,Pink,25926,19001,175,2018,FALSE,TRUE,20
WUARL48H39K152696,V6,25,Aquamarine,Indigo,32987,17987,68,2017,TRUE,TRUE,40
WAU2MAFC9FN914888,V8,1,Puce,Indigo,28960,18188,335,2018,TRUE,TRUE,38
1G6DK5EG5A0664295,V8,5,Red,Orange,31127,15696,195,2019,FALSE,TRUE,21
5UXFE43567L375943,V6,2,Purple,Khaki,31355,16045,64,2018,FALSE,TRUE,5
2C3CDYCJ3CH692912,V8,22,Teal,Crimson,31327,16510,302,2018,FALSE,TRUE,10
1G6DM1E38C0700970,V4,18,Yellow,Fuscia,32600,16203,178,2017,TRUE,TRUE,5
WBAEK13577C808395,V4,5,Puce,Purple,25280,18376,152,2019,TRUE,TRUE,41
YV1672MC3BJ475347,V4,14,Purple,Violet,25677,17545,175,2020,TRUE,FALSE,13
WAUHF78P48A561381,V8,7,Yellow,Puce,29103,17833,356,2018,FALSE,TRUE,37
WVWED7AJ6DW742951,V4,15,Orange,Indigo,33965,18373,369,2020,TRUE,TRUE,8
3GTU2YEJXCG381335,V6,13,Khaki,Indigo,31043,16490,392,2020,FALSE,TRUE,36
WBASP4C54AC698113,V4,20,Red,Turquoise,32530,16249,137,2019,TRUE,FALSE,35
YV4952BZ4E1989208,V8,10,Purple,Goldenrod,33721,16528,387,2019,FALSE,TRUE,45
1VWAH7A39DC522108,V8,3,Pink,Aquamarine,32063,15032,72,2020,FALSE,TRUE,7
JTDKN3DU8A0241315,V6,25,Turquoise,Mauv,26886,19187,79,2017,TRUE,TRUE,16
4T1BF1FK3EU477961,V8,15,Crimson,Maroon,27690,18037,251,2019,FALSE,TRUE,37
5NPEB4AC4DH481623,V4,18,Red,Aquamarine,29467,16429,257,2017,TRUE,TRUE,5
WAULC58E75A242817,V8,12,Purple,Maroon,34699,15464,2,2018,FALSE,TRUE,25
JN8AF5MR0CT258356,V4,10,Teal,Blue,34458,19582,389,2017,TRUE,TRUE,48
WDDDJ7CB8AA120537,V4,1,Khaki,Yellow,27043,16768,144,2018,TRUE,FALSE,42
JH4CW2H69CC578339,V6,17,Indigo,Yellow,32261,15356,106,2019,FALSE,TRUE,6
WAUEKAFB7BN845266,V6,19,Fuscia,Purple,28468,18418,329,2017,TRUE,TRUE,50
1NXBU4EE7AZ195786,V6,18,Mauv,Pink,34345,19070,116,2019,FALSE,TRUE,10
4T3BK3BB7FU264856,V6,21,Goldenrod,Purple,26432,15867,349,2018,TRUE,TRUE,32
KMHGH4JH3EU716793,V4,14,Teal,Turquoise,31630,17270,96,2020,FALSE,TRUE,49
WBAVS13518F593001,V6,24,Khaki,Crimson,26266,15410,332,2018,FALSE,FALSE,50
19VDE1F54EE515733,V4,12,Goldenrod,Purple,34127,16841,20,2019,FALSE,TRUE,29
1FTMF1CWXAK402360,V8,5,Turquoise,Puce,33788,17128,242,2018,TRUE,TRUE,48
3VW1K7AJ7DM566767,V4,22,Teal,Purple,26188,15003,294,2017,TRUE,TRUE,40
JN8AF5MR4BT429611,V8,2,Blue,Orange,28658,17626,113,2019,FALSE,TRUE,43
1G4GC5EC8BF090662,V4,5,Green,Blue,34152,15096,68,2019,FALSE,TRUE,39
WA1MMBFE5AD869203,V6,20,Crimson,Maroon,34771,16026,334,2017,FALSE,TRUE,19
1G6KD57Y39U132085,V8,2,Aquamarine,Khaki,26055,19588,184,2018,TRUE,TRUE,6
SCBCP7ZA6AC641220,V6,23,Green,Turquoise,26498,18847,252,2020,FALSE,TRUE,40
4T1BD1EB6DU618513,V4,4,Blue,Indigo,31464,17623,83,2019,FALSE,TRUE,42
2G4GN5ECXB9007042,V8,16,Goldenrod,Maroon,26760,19896,122,2020,TRUE,TRUE,26
1N6AF0KX5EN252606,V6,18,Blue,Crimson,34027,17259,394,2018,FALSE,TRUE,25
WAUNF98P36A300853,V6,3,Crimson,Crimson,28710,16647,172,2019,TRUE,TRUE,28
5N1AA0ND7FN923581,V4,18,Violet,Green,25157,17879,252,2017,TRUE,TRUE,41
1B3CB5HAXBD856937,V4,4,Purple,Orange,29991,16441,193,2020,TRUE,TRUE,23
JTHFN2EY5A9794169,V4,1,Mauv,Blue,27098,18843,290,2020,TRUE,TRUE,42
1G6DH8EY6B0907008,V4,14,Purple,Teal,34809,19743,281,2018,TRUE,TRUE,36
1G4HE57Y37U383332,V4,17,Teal,Maroon,33468,17011,335,2018,FALSE,TRUE,15
WA1AY94L29D920895,V8,16,Indigo,Green,33027,15105,379,2020,FALSE,FALSE,21
JH4NA21634S755704,V8,18,Pink,Pink,29950,18066,128,2018,TRUE,TRUE,21
5TDBK3EH3DS395121,V6,6,Crimson,Turquoise,34280,18766,334,2020,FALSE,TRUE,16
1FA6P0G78F5248796,V4,8,Aquamarine,Indigo,25873,18252,394,2019,FALSE,TRUE,16
1GYS4AEF0ER175569,V4,24,Fuscia,Indigo,29232,18049,344,2017,TRUE,FALSE,15
JN1CV6EK5EM789891,V4,22,Blue,Indigo,29692,18845,188,2020,TRUE,TRUE,14
2G4WD582691708509,V6,4,Puce,Khaki,28301,16781,57,2020,FALSE,TRUE,16
JM1GJ1T51E1006609,V8,15,Goldenrod,Indigo,28589,16324,262,2017,TRUE,TRUE,32
JA32U1FU1BU733245,V6,16,Maroon,Red,29632,17327,297,2017,TRUE,TRUE,7
4T1BF3EK3AU522050,V8,14,Turquoise,Puce,25993,16361,288,2020,FALSE,TRUE,20
JTDZN3EUXD3797853,V8,6,Violet,Aquamarine,31785,16435,305,2018,FALSE,TRUE,29
WVWBN7ANXFE126245,V4,25,Crimson,Mauv,30344,19089,353,2019,TRUE,TRUE,1
WBALL5C54EE270848,V8,25,Goldenrod,Orange,25676,16203,64,2020,FALSE,TRUE,39
1GD02ZCG5CF769596,V8,11,Green,Red,26668,16628,137,2020,FALSE,TRUE,41
JTJBARBZ0F2436542,V6,7,Fuscia,Mauv,34314,19208,108,2020,FALSE,TRUE,49
JN8AS1MU2BM847958,V6,15,Red,Crimson,34778,19429,129,2017,FALSE,TRUE,27
1G6DS5E35C0160202,V6,15,Yellow,Pink,26621,19681,213,2018,TRUE,TRUE,16
5J6TF1H56FL625120,V6,16,Purple,Pink,31949,18780,133,2020,FALSE,TRUE,30
2C3CCARG6FH221346,V6,11,Goldenrod,Blue,25763,17524,254,2017,TRUE,FALSE,42
2C3CDXGJ2EH296767,V6,23,Crimson,Khaki,28190,16717,158,2019,FALSE,TRUE,12
2D4RN6DX4AR690221,V4,18,Aquamarine,Indigo,28040,18963,101,2020,TRUE,TRUE,2
1GD010CG1BF113960,V4,4,Purple,Purple,31480,15671,217,2020,FALSE,TRUE,2
5N1AR2MMXEC554814,V6,10,Crimson,Red,28589,15213,165,2018,TRUE,TRUE,39
WBA3N7C58EK549999,V8,14,Mauv,Purple,27820,16969,281,2019,TRUE,TRUE,8
JM3TB2BA5C0270667,V6,16,Purple,Purple,25598,18534,245,2018,TRUE,TRUE,48
2FMDK3JC4AB612006,V4,9,Pink,Yellow,26378,16873,28,2020,FALSE,TRUE,45
1FMJK1F57DE582851,V4,1,Fuscia,Aquamarine,32454,18794,219,2017,TRUE,FALSE,4
JH4DB75531S112269,V8,24,Maroon,Turquoise,34782,19574,105,2018,TRUE,TRUE,26
1D4PU2GK7AW450364,V6,21,Yellow,Yellow,30939,19976,57,2020,FALSE,FALSE,29
1G6DG577380296711,V4,4,Orange,Violet,27794,19184,90,2018,FALSE,TRUE,38
4T3BA3BB4FU892683,V8,13,Orange,Red,32962,18055,61,2018,FALSE,TRUE,2
4A31K2DF8BE201639,V6,16,Aquamarine,Fuscia,27939,15256,65,2018,TRUE,TRUE,8
WAUEH94F16N291134,V8,11,Indigo,Turquoise,27625,17934,356,2020,TRUE,TRUE,19
1N6AF0KY1FN456880,V8,8,Maroon,Indigo,33241,16885,24,2020,FALSE,TRUE,32
1G6DK8EG9A0485100,V8,1,Mauv,Green,32898,15825,133,2017,FALSE,TRUE,16
5UXFG2C59CL042452,V4,24,Teal,Goldenrod,30624,18965,173,2017,FALSE,TRUE,42
WBAKG7C58BE004482,V8,22,Indigo,Indigo,30051,19954,314,2019,FALSE,TRUE,4
WAUDFAFL2BN986397,V6,14,Fuscia,Goldenrod,31047,17445,184,2020,TRUE,TRUE,23
WBAYA6C56ED338350,V6,17,Aquamarine,Purple,25059,15394,30,2017,FALSE,TRUE,3
WBA6A0C5XED642091,V6,17,Teal,Pink,27604,19490,341,2018,FALSE,TRUE,13
KM8NU4CC9BU177662,V4,18,Green,Violet,34210,15069,117,2018,FALSE,TRUE,13
WBA3A5C58DF771384,V4,15,Fuscia,Blue,28708,15927,2,2017,FALSE,TRUE,29
19UUA65545A365791,V6,24,Turquoise,Puce,25297,15376,85,2017,TRUE,TRUE,2
5J8TB4H35GL623766,V4,7,Aquamarine,Indigo,33371,19221,203,2019,TRUE,TRUE,45
WUARL48H09K355402,V6,7,Fuscia,Violet,34594,15595,342,2019,FALSE,TRUE,37
3C3CFFAR8FT822380,V8,13,Aquamarine,Orange,33947,19834,258,2020,FALSE,TRUE,43
2T1BURHE0EC592949,V6,9,Turquoise,Turquoise,30590,19877,376,2017,FALSE,TRUE,34
WBA8Z5C56FD375791,V4,13,Aquamarine,Crimson,25656,17181,48,2018,FALSE,TRUE,30
19UUA65625A894746,V6,2,Orange,Fuscia,31282,18774,232,2019,TRUE,TRUE,30
5GAKRBKD0DJ745116,V4,12,Blue,Violet,34777,17737,341,2017,TRUE,TRUE,42
5J8TB4H39GL352775,V6,19,Pink,Khaki,25668,18123,18,2019,TRUE,TRUE,10
WBSBR93413P021509,V8,21,Pink,Goldenrod,32467,17538,21,2020,FALSE,TRUE,33
JH4CL95846C059128,V6,11,Pink,Teal,33290,16940,139,2018,TRUE,TRUE,7
KNDMB5C13F6587605,V8,19,Teal,Mauv,33735,15023,332,2019,TRUE,TRUE,1
1FBSS3BL3AD679849,V6,4,Indigo,Goldenrod,27963,15985,310,2019,FALSE,TRUE,48
2T1KE4EE8AC865621,V4,11,Orange,Turquoise,34934,15737,106,2017,FALSE,FALSE,11
5TDDK3DC6FS861139,V6,17,Crimson,Khaki,27516,15875,365,2019,FALSE,TRUE,43
SAJWA4DC1CM663174,V4,21,Khaki,Fuscia,26099,16581,188,2018,TRUE,TRUE,29
JTEBU4BF6AK003038,V4,17,Fuscia,Orange,32466,15483,316,2020,TRUE,TRUE,6
WBAYE8C55ED206812,V4,19,Crimson,Goldenrod,29923,15559,180,2019,TRUE,TRUE,48
WDDPK4HA0FF315079,V6,4,Blue,Fuscia,29713,16632,113,2017,TRUE,TRUE,45
KL4CJBSB1DB313390,V6,16,Fuscia,Yellow,33257,18224,92,2020,FALSE,TRUE,41
JM1NC2EFXA0298340,V4,10,Turquoise,Red,28691,18994,152,2019,FALSE,TRUE,34
SALAC2D41AA754243,V4,1,Blue,Violet,29531,19479,113,2017,TRUE,TRUE,5
1GD311CG5FF251977,V4,19,Teal,Indigo,27319,19678,101,2017,FALSE,FALSE,6
5UXKR2C5XE0231768,V6,25,Yellow,Purple,25040,16230,84,2020,TRUE,FALSE,27
3C4PDCAB1ET098339,V8,11,Puce,Crimson,30725,19328,185,2017,FALSE,TRUE,34
SCBFT7ZA1FC644686,V4,3,Pink,Maroon,28501,15432,57,2019,FALSE,TRUE,10
WAUCH74F49N625270,V8,21,Aquamarine,Red,26574,19082,332,2019,TRUE,FALSE,1
JN1AZ4EH0AM774083,V6,4,Turquoise,Blue,33967,15045,26,2019,TRUE,TRUE,49
WA1WYBFE0AD576855,V6,1,Green,Indigo,25024,15693,185,2018,FALSE,TRUE,18
1GYEC63857R910762,V6,9,Fuscia,Goldenrod,28091,17082,313,2017,TRUE,TRUE,3
3C6LD4AT2CG246069,V8,24,Pink,Violet,33414,15519,99,2019,FALSE,TRUE,7
WBAEB5C57AC882902,V8,16,Aquamarine,Yellow,30550,15520,321,2019,TRUE,TRUE,12
WAUSF78K49N913346,V8,5,Green,Blue,33858,16042,166,2018,FALSE,TRUE,11
1C6RD6GP7CS266388,V4,25,Turquoise,Yellow,25392,19988,372,2019,FALSE,FALSE,36
JH4KB163X8C584393,V4,23,Indigo,Turquoise,31765,15831,19,2017,TRUE,TRUE,6
5UXZV4C51BL092582,V4,10,Orange,Orange,34231,18606,392,2017,TRUE,TRUE,48
SAJWA4DB9EL123152,V6,22,Yellow,Green,26648,15051,35,2020,FALSE,TRUE,20
JTDZN3EU3D3855205,V8,5,Blue,Fuscia,25701,19826,25,2018,TRUE,FALSE,41
19UUA65556A831911,V8,23,Green,Orange,31450,18295,288,2019,FALSE,TRUE,41
2G61S5S36E9683888,V8,18,Yellow,Green,27093,18696,182,2017,FALSE,TRUE,27
WBAUP9C52CV069852,V4,21,Puce,Puce,30723,16740,189,2017,TRUE,TRUE,38
KNDJT2A17B7962871,V4,15,Orange,Green,29141,19278,203,2018,FALSE,TRUE,30
2T2BC1BA1FC030288,V4,4,Aquamarine,Crimson,28270,15857,186,2020,FALSE,TRUE,35
1FMJK1G54BE625800,V4,5,Maroon,Turquoise,27814,19632,359,2019,TRUE,TRUE,19
3VW4T7AT3EM876170,V6,17,Green,Orange,34415,16635,129,2019,FALSE,TRUE,27
TRUDD38JX91474426,V8,17,Fuscia,Yellow,30729,16375,380,2017,TRUE,TRUE,43
WAUHFAFL5BA814020,V4,10,Puce,Maroon,26164,15271,253,2020,FALSE,TRUE,22
ZFBCFACH6FZ538762,V6,19,Violet,Puce,29533,16811,177,2019,TRUE,TRUE,27
WBAFZ9C50DC023436,V6,4,Orange,Purple,31882,15189,265,2019,FALSE,TRUE,2
WBAEN33414E848997,V4,16,Pink,Mauv,33491,18263,262,2020,TRUE,TRUE,46
3D7LT2ET6BG870665,V6,18,Mauv,Fuscia,32910,18187,305,2019,TRUE,TRUE,27
JN1CV6EK5CM314755,V6,18,Violet,Yellow,25978,17438,270,2019,FALSE,TRUE,13
JM1NC2LF7C0445123,V4,6,Maroon,Maroon,25209,16309,287,2019,FALSE,TRUE,11
1GKKRNED0BJ319116,V6,15,Pink,Mauv,30873,18045,55,2017,FALSE,TRUE,47
WBSBL93444P529332,V8,6,Orange,Maroon,34723,17565,349,2019,FALSE,TRUE,47
WBAUL7C59AV250637,V4,17,Khaki,Orange,33958,16781,383,2019,FALSE,TRUE,49
5NPDH4AE8EH380775,V6,8,Puce,Mauv,34919,18641,195,2019,FALSE,TRUE,23
19UUA65646A201418,V6,11,Yellow,Blue,32982,17144,178,2019,TRUE,TRUE,21
KL4CJESB8EB589374,V8,14,Blue,Green,26160,19310,308,2019,FALSE,FALSE,15
5GADV23W17D910212,V8,18,Khaki,Indigo,29312,19936,231,2018,TRUE,TRUE,18
JH4CL96846C658643,V6,25,Goldenrod,Red,29453,15647,224,2018,TRUE,TRUE,10
WA1EY94L49D907910,V4,10,Green,Blue,29042,17512,211,2017,FALSE,TRUE,50
JN1AZ4EH7FM229652,V4,18,Blue,Puce,33803,17357,300,2017,TRUE,FALSE,39
WBAAV33471E741169,V4,14,Yellow,Puce,32792,17922,209,2017,TRUE,TRUE,30
1G6YX36D285385301,V4,8,Maroon,Teal,33260,15865,1,2017,TRUE,TRUE,9
SALSF2D4XDA381218,V6,1,Indigo,Crimson,26988,18686,214,2019,FALSE,TRUE,27
WAUHFAFL1CA715079,V6,8,Purple,Red,33925,17447,207,2020,FALSE,TRUE,21
4T1BD1FK5DU225827,V6,15,Aquamarine,Green,33080,18483,116,2017,FALSE,TRUE,43
WAUDGBFL3BA101652,V8,12,Khaki,Khaki,32678,17152,278,2018,FALSE,TRUE,49
WAUVC58E43A577412,V4,13,Puce,Indigo,33707,17335,155,2017,TRUE,TRUE,13
3D7JV1EP0BG255530,V6,25,Green,Khaki,33481,18427,360,2017,FALSE,TRUE,50
WBAAV33431F277081,V6,19,Khaki,Blue,32136,19562,265,2019,FALSE,TRUE,34
WAUAH78E48A999232,V8,6,Maroon,Maroon,31362,19839,240,2019,FALSE,TRUE,26
WDDGF4HB0DG204133,V6,23,Green,Orange,29074,17328,94,2019,FALSE,TRUE,24
WBAXG5C54DD642215,V6,21,Blue,Aquamarine,29899,19628,320,2018,TRUE,TRUE,43
3MZBM1K70EM959283,V4,3,Green,Purple,30470,18808,195,2019,TRUE,TRUE,41
TRUSC28N811000695,V6,8,Pink,Khaki,25464,16140,399,2019,TRUE,TRUE,40
3C6JD7EP4CG819933,V4,11,Violet,Khaki,32223,19386,206,2020,FALSE,TRUE,43
WBAKG7C56CE264333,V4,14,Red,Goldenrod,26744,15671,23,2019,TRUE,FALSE,42
WBALM53559E849396,V4,11,Puce,Maroon,27802,18391,38,2017,TRUE,TRUE,7
1GKS1GEJ4DR103413,V6,12,Khaki,Indigo,27671,15305,256,2019,TRUE,TRUE,20
5YMGZ0C58DL182649,V8,6,Teal,Fuscia,30114,19455,275,2017,TRUE,TRUE,5
WA1YD54B63N075867,V4,15,Khaki,Mauv,32397,17942,352,2019,FALSE,TRUE,30
1GD21ZCGXCZ110133,V8,25,Red,Maroon,30569,16793,298,2019,FALSE,TRUE,36
WAUNF98PX8A595579,V6,17,Red,Khaki,25435,19932,163,2020,FALSE,TRUE,40
JTHBL1EF7A5943430,V6,17,Red,Aquamarine,27895,19138,69,2019,TRUE,TRUE,22
2C3CDYBT3EH623675,V6,8,Green,Mauv,29128,17776,341,2019,TRUE,FALSE,3
WVWAB7AJ0DW286322,V4,19,Purple,Indigo,31378,19457,351,2019,TRUE,TRUE,34
WBAWL13508P220687,V6,11,Mauv,Aquamarine,31870,17309,46,2019,TRUE,TRUE,37
5XYZT3LB1FG617715,V8,4,Green,Goldenrod,27051,17599,383,2019,TRUE,TRUE,13
WAUDF78E67A981266,V8,7,Fuscia,Khaki,26174,19304,136,2020,TRUE,TRUE,21
WA1LFAFP3DA405821,V8,8,Pink,Yellow,25035,16498,160,2017,FALSE,TRUE,21
1FTEX1CM2DK538986,V4,9,Red,Khaki,33494,16104,97,2020,TRUE,TRUE,28
1GYS3GKJ1FR749077,V4,20,Goldenrod,Khaki,30997,15283,49,2019,TRUE,TRUE,36
WBAYM1C54DD067734,V4,23,Maroon,Purple,32070,15919,21,2020,FALSE,TRUE,36
3C6TD5JT1CG595388,V8,18,Puce,Purple,32076,17662,256,2017,FALSE,TRUE,1
1G6DV5EP6E0011195,V8,10,Yellow,Maroon,33111,17448,45,2020,FALSE,TRUE,44
3N1CE2CP8EL273056,V6,13,Turquoise,Blue,30608,18190,117,2019,FALSE,TRUE,31
